                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.38305,                0.31761,                  1.358,                0.50078,                0.50353,                0.48499,                0.38103,                0.77386,                 1.4102,                 1.5425,             0.00021632,             0.00021632,             0.00021632
                     74,                0.38241,                0.30245,                 1.3569,                0.53317,                0.53529,                0.48419,                0.38101,                0.75689,                 1.3855,                 1.5321,             0.00020176,             0.00020176,             0.00020176
                     75,                0.36783,                0.30133,                 1.3347,                0.54489,                0.50138,                0.46771,                0.36993,                 0.7626,                 1.4732,                 1.5448,             0.00018721,             0.00018721,             0.00018721
                     76,                0.34074,                0.29161,                 1.3221,                0.49036,                0.55041,                0.48242,                0.38521,                0.75046,                 1.5316,                 1.5035,             0.00017265,             0.00017265,             0.00017265
                     77,                  0.324,                 0.2542,                 1.2795,                0.44587,                0.58168,                0.48043,                0.38116,                 0.7571,                 1.5648,                 1.5042,             0.00015809,             0.00015809,             0.00015809
                     78,                0.31984,                0.25449,                 1.2985,                 0.4648,                 0.5275,                0.47469,                0.37506,                0.78764,                 1.6131,                 1.5403,             0.00014353,             0.00014353,             0.00014353
                     79,                0.30156,                0.23886,                 1.2725,                0.47323,                0.49287,                0.48372,                0.38684,                0.78707,                  1.534,                  1.537,             0.00012897,             0.00012897,             0.00012897
                     80,                0.30837,                0.24028,                 1.2774,                0.49648,                0.48802,                0.49138,                0.38898,                0.77444,                 1.5339,                 1.5304,             0.00011441,             0.00011441,             0.00011441
                     81,                0.30176,                0.25012,                 1.2799,                0.53134,                0.46534,                 0.4732,                0.37361,                0.77216,                 1.6024,                 1.5319,             9.9853e-05,             9.9853e-05,             9.9853e-05
                     82,                0.31916,                0.25018,                 1.3062,                0.55791,                0.44741,                0.47345,                0.37581,                0.76773,                 1.6679,                 1.5213,             8.5294e-05,             8.5294e-05,             8.5294e-05
                     83,                0.27986,                  0.222,                 1.2574,                0.40335,                0.57782,                0.48596,                0.38446,                 0.7606,                 1.6563,                 1.5274,             7.0735e-05,             7.0735e-05,             7.0735e-05
                     84,                0.29627,                0.23159,                 1.2868,                0.54684,                0.44099,                0.49091,                0.39128,                0.76519,                 1.6205,                 1.5245,             5.6176e-05,             5.6176e-05,             5.6176e-05
                     85,                 0.2899,                0.22985,                 1.2718,                0.53779,                0.46019,                0.49236,                 0.3921,                0.76639,                 1.6077,                 1.5376,             4.1618e-05,             4.1618e-05,             4.1618e-05
